youtube_id,time_start,time_end,label
-gswhyjdG-A,0,10,catching or throwing baseball
-i9n9qVTlmk,21,31,catching or throwing baseball
-jIBrJAYBeg,1,11,catching or throwing baseball
-JLmaEHB_GI,277,287,catching or throwing baseball
-sKTm-mjHYo,13,23,catching or throwing baseball
-_o1wewuNhU,127,137,catching or throwing baseball
-_ZMybcaUOw,374,384,catching or throwing baseball
0-2GOSXJUe0,0,10,catching or throwing baseball
08Rk0r1zVyk,44,54,catching or throwing baseball
08sAVLdsWI4,13,23,catching or throwing baseball
0AcqN56Sn5A,34,44,catching or throwing baseball
0AO_OCEztlc,0,10,catching or throwing baseball
0f5VDpQ8V9c,1,11,catching or throwing baseball
0KgQ0m9WI2g,137,147,catching or throwing baseball
0MQ-i0IpRi4,6,16,catching or throwing baseball
0MXLuil0aOI,4,14,catching or throwing baseball
0UdpIwbUXZA,88,98,catching or throwing baseball
0zYjmT4vCzk,1,11,catching or throwing baseball
0_dWsMfL1LA,4,14,catching or throwing baseball
0_hOxBg1uNY,75,85,catching or throwing baseball
10PGtVHab70,10,20,catching or throwing baseball
1EaQEYibFek,21,31,catching or throwing baseball
1FcgfYYwHhc,3,13,catching or throwing baseball
1IhJMNd-GeQ,156,166,catching or throwing baseball
1kye_ygEMfc,2,12,catching or throwing baseball
1QoV0n38zhM,92,102,catching or throwing baseball
1RVKKlpsDhg,0,10,catching or throwing baseball
1SvzKT0TfKc,8,18,catching or throwing baseball
2-ivU3kCoaY,64,74,catching or throwing baseball
28XIKs1x3fw,1,11,catching or throwing baseball
2bDcWbe5r5g,0,10,catching or throwing baseball
2EsR9zAw7D8,0,10,catching or throwing baseball
2ixxIMTLsRU,59,69,catching or throwing baseball
2LfhzfiO0g0,40,50,catching or throwing baseball
2ly4hFzORFE,4,14,catching or throwing baseball
2qhYJ80-2-M,18,28,catching or throwing baseball
2vZvZMuPCuk,9,19,catching or throwing baseball
2YjE6XCkkSc,21,31,catching or throwing baseball
329RMoLHBnA,26,36,catching or throwing baseball
36hYpaUazJ0,32,42,catching or throwing baseball
37V1uQa2am4,5,15,catching or throwing baseball
3Ba4ljI7J9c,5,15,catching or throwing baseball
3cSYYBgXoJM,93,103,catching or throwing baseball
3kUYkcOupjo,111,121,catching or throwing baseball
3ObuX3a1uCA,7,17,catching or throwing baseball
3PG3Lb3OXT0,4,14,catching or throwing baseball
3Q8iDCfPV2E,44,54,catching or throwing baseball
3RbcDaYxrQw,3,13,catching or throwing baseball
3Z3bbgbypCo,0,10,catching or throwing baseball
44hB4DRfUcg,409,419,catching or throwing baseball
45P8ox6EX0o,11,21,catching or throwing baseball
4AKIma3sTr0,9,19,catching or throwing baseball
4WaqAOO6NH0,181,191,catching or throwing baseball
4ygsbn9GA_8,3,13,catching or throwing baseball
4YKUnTnBSTU,5,15,catching or throwing baseball
5aNInVANxJg,195,205,catching or throwing baseball
5mqCCqaGYD4,4,14,catching or throwing baseball
5MWbZcgmDlM,48,58,catching or throwing baseball
5PbsQ3g33YQ,35,45,catching or throwing baseball
5_XT38PbwpQ,14,24,catching or throwing baseball
6afm3jt9PUg,0,10,catching or throwing baseball
6H2y3A-aZ5c,0,10,catching or throwing baseball
6nfEVZaQX_o,60,70,catching or throwing baseball
6p8YWWBe-o4,103,113,catching or throwing baseball
6qH7XNyRTE8,8,18,catching or throwing baseball
6wISxgqry08,38,48,catching or throwing baseball
6yFqDJ_MW-Y,1,11,catching or throwing baseball
75a-YWKSR9I,3,13,catching or throwing baseball
7ErEhyWf7u0,9,19,catching or throwing baseball
7EuQlzhki_Y,16,26,catching or throwing baseball
7GGZSlKrr7Q,0,10,catching or throwing baseball
7HI3edd8pgg,0,10,catching or throwing baseball
7M_2Obuw6Xw,3,13,catching or throwing baseball
7ofbbdRpGAg,1,11,catching or throwing baseball
7PIjkuMxVfg,11,21,catching or throwing baseball
7S1fa_Y3l94,4,14,catching or throwing baseball
7Y7OdxyGYZc,2,12,catching or throwing baseball
7zPJCi2u1tI,24,34,catching or throwing baseball
81M0WKdAwx8,0,10,catching or throwing baseball
8bl-WKI_NW8,1,11,catching or throwing baseball
8DGvRTIWhmI,25,35,catching or throwing baseball
8elF_DLupvo,4,14,catching or throwing baseball
8G-eA5AWvSY,15,25,catching or throwing baseball
8G0WS3B6BI8,0,10,catching or throwing baseball
8G854249iTs,12,22,catching or throwing baseball
8Gqv4SR0Brs,9,19,catching or throwing baseball
8MA_iIWs2Jc,5,15,catching or throwing baseball
8nn42F81ZQk,0,10,catching or throwing baseball
8PmzuFWxXfA,62,72,catching or throwing baseball
8PzTNCbijgY,4,14,catching or throwing baseball
8QbzXvRft_4,2,12,catching or throwing baseball
8wwjfMWCgYo,20,30,catching or throwing baseball
8yEj9NSBPGw,3,13,catching or throwing baseball
92-mq_UwLY8,22,32,catching or throwing baseball
92BlBG8713I,18,28,catching or throwing baseball
93_7N0TfKZE,76,86,catching or throwing baseball
9Dkci2i2o04,11,21,catching or throwing baseball
9fjdPBzAqS4,0,10,catching or throwing baseball
9fT2H0k68sE,16,26,catching or throwing baseball
9gmjh9VCtys,25,35,catching or throwing baseball
9KYYdT44Ky0,2,12,catching or throwing baseball
9LDZCMF2Buo,17,27,catching or throwing baseball
9svndiONcD8,73,83,catching or throwing baseball
9uMHYraHqyU,2,12,catching or throwing baseball
9wkiNcNIPRs,26,36,catching or throwing baseball
9wubzjf5sVk,2,12,catching or throwing baseball
9xKQQchxR00,240,250,catching or throwing baseball
9yGYAuv4SIw,0,10,catching or throwing baseball
9zE-AjQdSnM,74,84,catching or throwing baseball
a2PPiihOtSo,311,321,catching or throwing baseball
a5-Fu00pwEk,4,14,catching or throwing baseball
a57Wnd5oOw0,51,61,catching or throwing baseball
AAAwcD5LeQ0,17,27,catching or throwing baseball
aDA5Ycxk9MA,0,10,catching or throwing baseball
AIigDhnVRI8,9,19,catching or throwing baseball
aMwWTPw5n10,62,72,catching or throwing baseball
AnRCmoXjazY,12,22,catching or throwing baseball
APkDak34W-4,6,16,catching or throwing baseball
ArB259fVM78,286,296,catching or throwing baseball
AsI3o1csLI8,7,17,catching or throwing baseball
at6OUxwGTk8,0,10,catching or throwing baseball
aXvXP2zIRjs,6,16,catching or throwing baseball
ax__7S2Mr6M,4,14,catching or throwing baseball
Ay96rmqDa6I,54,64,catching or throwing baseball
aZzfEhBMhPI,23,33,catching or throwing baseball
b8htF-sif2U,58,68,catching or throwing baseball
bgRZhj87wGs,3,13,catching or throwing baseball
BGuAgfH2xCo,3,13,catching or throwing baseball
bjvIOVUcPqM,40,50,catching or throwing baseball
bK05D61SXmM,46,56,catching or throwing baseball
bkEyhLbMmyo,65,75,catching or throwing baseball
bnJc8XVFYqc,5,15,catching or throwing baseball
Bo5f3gNgTLQ,11,21,catching or throwing baseball
BO9q_ln6960,25,35,catching or throwing baseball
BPA3ycTqgCY,0,10,catching or throwing baseball
BRi6AH3TDwk,48,58,catching or throwing baseball
brjoXuoBIp4,6,16,catching or throwing baseball
BsgoKX8W4-o,8,18,catching or throwing baseball
btIiVRPeDj8,220,230,catching or throwing baseball
bUPlIr8jSeU,76,86,catching or throwing baseball
bUQ-dg3a9xQ,82,92,catching or throwing baseball
Bx0oQ-U_7eQ,2,12,catching or throwing baseball
BYTevQX1x3o,30,40,catching or throwing baseball
bzd_giFrMVw,0,10,catching or throwing baseball
c-Hh3JGL5Lg,3,13,catching or throwing baseball
c2w3Z4hnpOQ,0,10,catching or throwing baseball
C6xHCzpv4VM,55,65,catching or throwing baseball
cAoHmq8WNlY,1,11,catching or throwing baseball
cApgeY-w5f0,6,16,catching or throwing baseball
caQ9KXXmSPw,10,20,catching or throwing baseball
CAQCLiZA3PA,3,13,catching or throwing baseball
cCC0sTLVRyI,5,15,catching or throwing baseball
Cde7YUVrVT8,9,19,catching or throwing baseball
cE21jjS0tpg,13,23,catching or throwing baseball
cfu4E3eX_l4,4,14,catching or throwing baseball
CJ-LW0kdk1U,39,49,catching or throwing baseball
cjntlN3nwmI,4,14,catching or throwing baseball
CKTOpCJKfgo,84,94,catching or throwing baseball
cla1EGZYCus,4,14,catching or throwing baseball
CpDDfgiV4is,2,12,catching or throwing baseball
cPtZkrZiEfo,9,19,catching or throwing baseball
csJp5URPcyo,0,10,catching or throwing baseball
cW4-ldx7Kp8,32,42,catching or throwing baseball
CXmbJqeSawU,123,133,catching or throwing baseball
cyDz3cO4Jic,1,11,catching or throwing baseball
czCjnDlH_Ws,41,51,catching or throwing baseball
d4EHPDAUI5w,27,37,catching or throwing baseball
DB3K-v8xxFU,17,27,catching or throwing baseball
DBFHjKW1f2A,6,16,catching or throwing baseball
dESsLj7QsSM,56,66,catching or throwing baseball
dfvcnwl1cSk,69,79,catching or throwing baseball
dICnb8rtdlM,2,12,catching or throwing baseball
DJKfqatZB3c,30,40,catching or throwing baseball
DJyMTddVYr0,15,25,catching or throwing baseball
DkYjOrGLtGk,45,55,catching or throwing baseball
dny8-JMnT_k,26,36,catching or throwing baseball
dQcTjDcguBE,36,46,catching or throwing baseball
dVoaTamNxO4,25,35,catching or throwing baseball
dZ9ILc8IaeU,37,47,catching or throwing baseball
DZhW8i97YOg,4,14,catching or throwing baseball
DzTTNu1nMws,104,114,catching or throwing baseball
E2pKjTBTxEc,0,10,catching or throwing baseball
e3fcBfGNzPI,6,16,catching or throwing baseball
E58wtodlU6Y,30,40,catching or throwing baseball
e8xhbLRizDk,17,27,catching or throwing baseball
eEpkXv4JNV4,162,172,catching or throwing baseball
EFhd_zBsXn4,17,27,catching or throwing baseball
Efo2-1qDZKg,0,10,catching or throwing baseball
EJV5u-Gcbl8,7,17,catching or throwing baseball
eLotJDlcOhU,4,14,catching or throwing baseball
emDMaeqkm0w,1,11,catching or throwing baseball
ep-2aGbV9tU,80,90,catching or throwing baseball
EPhBMk0oW5A,69,79,catching or throwing baseball
eQTPYTD0Bqs,21,31,catching or throwing baseball
eR3B1wnpzv4,233,243,catching or throwing baseball
ETnqg2-PEC8,50,60,catching or throwing baseball
euHoHvDw_EU,3,13,catching or throwing baseball
eyMyCy_BB4g,4,14,catching or throwing baseball
f0T8ruqMZaM,4,14,catching or throwing baseball
F2rQZZfC2is,25,35,catching or throwing baseball
f5kTDn5OqbM,271,281,catching or throwing baseball
faXcq_4etVA,241,251,catching or throwing baseball
fcno0RGa2Ko,154,164,catching or throwing baseball
FECZ_qaFDGU,5,15,catching or throwing baseball
FfJmrxkcMaY,20,30,catching or throwing baseball
FHuMQMXQeHc,5,15,catching or throwing baseball
FkJTU4uIwN8,2,12,catching or throwing baseball
fPO9oLr7dGk,15,25,catching or throwing baseball
FQuNwvS_ghg,83,93,catching or throwing baseball
FtD4iy01hGM,1,11,catching or throwing baseball
fVk3y6piwAw,3,13,catching or throwing baseball
g0uelaiG3Ns,13,23,catching or throwing baseball
G7lY-pqvOBs,3,13,catching or throwing baseball
g8ZhO9Fn1A8,3,13,catching or throwing baseball
gaoPLN-sKBM,36,46,catching or throwing baseball
gG7RJdb6E-s,1,11,catching or throwing baseball
ggTcp1ZzKsA,3,13,catching or throwing baseball
GjnQAH6rVjU,70,80,catching or throwing baseball
GjYnQbJzv4k,1,11,catching or throwing baseball
GK3ADJjTB5w,1,11,catching or throwing baseball
gkZY13cbF_c,21,31,catching or throwing baseball
gLgK4ZazXtM,43,53,catching or throwing baseball
GlZHypvUopY,136,146,catching or throwing baseball
Gn2e49SROdI,0,10,catching or throwing baseball
gOF6_eL88Ts,19,29,catching or throwing baseball
GoHNT0OB7XE,107,117,catching or throwing baseball
GQy0BEJYpYY,118,128,catching or throwing baseball
GRuRDUmFEAA,0,10,catching or throwing baseball
gUUA1K92vWU,24,34,catching or throwing baseball
GVyVn3qSZaA,1,11,catching or throwing baseball
GXgdoowe6GI,7,17,catching or throwing baseball
GyCzXzwcsUs,5,15,catching or throwing baseball
GYTfIcs561M,68,78,catching or throwing baseball
gZ1E4d-U070,5,15,catching or throwing baseball
H1rScngjJtg,0,10,catching or throwing baseball
h2A3VnEOzQA,5,15,catching or throwing baseball
H3j7SUY-Opk,1,11,catching or throwing baseball
H4i4z_lSuCw,0,10,catching or throwing baseball
he7QbZDp4Pc,3,13,catching or throwing baseball
heZkYHXyNDk,45,55,catching or throwing baseball
hf0Vrq8SxkA,2,12,catching or throwing baseball
hFPIJpjs2bw,4,14,catching or throwing baseball
hg9w3R-ov3A,2,12,catching or throwing baseball
HHvvNupIspc,0,10,catching or throwing baseball
HLYX9DMlypQ,0,10,catching or throwing baseball
HQbxeojgaAM,27,37,catching or throwing baseball
Hu-qaaVLmNo,254,264,catching or throwing baseball
HUAOiQG1Z7w,3,13,catching or throwing baseball
HufZeJI72qg,2,12,catching or throwing baseball
HXem5y6BEXg,0,10,catching or throwing baseball
hzmsnhuNmvE,4,14,catching or throwing baseball
HzwdG5lkNH4,0,10,catching or throwing baseball
HzyUUAXYQzM,30,40,catching or throwing baseball
iam-SMsBZcY,1,11,catching or throwing baseball
ICO4IBfX5Ro,10,20,catching or throwing baseball
idD4K-juvCE,0,10,catching or throwing baseball
iED9LvLEmdc,44,54,catching or throwing baseball
iFSeI5G41nw,7,17,catching or throwing baseball
IfVHZYrQY8g,4,14,catching or throwing baseball
ihD-ftUHJ04,1,11,catching or throwing baseball
iIL7_B1j6-I,4,14,catching or throwing baseball
iIOGfg2uP5g,19,29,catching or throwing baseball
iiz3uGmmqXo,0,10,catching or throwing baseball
iJlR-So5Wjw,27,37,catching or throwing baseball
iQ67eZrSLv0,3,13,catching or throwing baseball
iQ93g_0HTE0,76,86,catching or throwing baseball
iQaiB2IqLRc,41,51,catching or throwing baseball
IqE8bSHvPoM,1,11,catching or throwing baseball
iQerCqy37Ms,1,11,catching or throwing baseball
itUK_5pUOxw,4,14,catching or throwing baseball
itwezb029W0,518,528,catching or throwing baseball
iX2IVqrZ3zs,0,10,catching or throwing baseball
ixmuFGIasRo,10,20,catching or throwing baseball
Izvotzzk2v0,4,14,catching or throwing baseball
I_GUmBud6UI,2,12,catching or throwing baseball
J2urrPZUb3I,10,20,catching or throwing baseball
J4Ti-3oVLZI,20,30,catching or throwing baseball
J69NzinmyKo,3,13,catching or throwing baseball
J6p6rEDanUs,11,21,catching or throwing baseball
J70B7zFwPxk,367,377,catching or throwing baseball
jbHhW35Lkt8,64,74,catching or throwing baseball
JcWVZmeoFx8,4,14,catching or throwing baseball
jdJKc_cSHkQ,2,12,catching or throwing baseball
JHlVnJsuZFI,44,54,catching or throwing baseball
Jk3d4D7xeJA,4,14,catching or throwing baseball
jLWT5JT0XZk,12,22,catching or throwing baseball
jmalrFIZ2dA,90,100,catching or throwing baseball
jMiSxrgJmIw,148,158,catching or throwing baseball
JMuVH3-kREU,69,79,catching or throwing baseball
jQ9_DtRC2sw,0,10,catching or throwing baseball
jQY-yaQEZdU,64,74,catching or throwing baseball
jRmBLskw4i4,209,219,catching or throwing baseball
JTPblG4Ckik,43,53,catching or throwing baseball
JTuopUgmg1w,2,12,catching or throwing baseball
jU6KLsQUfE4,13,23,catching or throwing baseball
jW6TbcMBAmQ,10,20,catching or throwing baseball
jYuuYZ5LG08,4,14,catching or throwing baseball
k1CA1ZtSiCs,31,41,catching or throwing baseball
K3CX7G2o6DY,10,20,catching or throwing baseball
k3diSXLBpV4,18,28,catching or throwing baseball
K5VOkBQ28Ac,52,62,catching or throwing baseball
k9bCk7K3BwY,15,25,catching or throwing baseball
kd22TD_Biqc,3,13,catching or throwing baseball
kdaODJBovks,18,28,catching or throwing baseball
KDyigIMKFNE,0,10,catching or throwing baseball
kEPGAtC2o-8,12,22,catching or throwing baseball
